# BSL Gesture Data
"# User: 001, Gesture: 2 (Two), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
2.098,279,75,293,78,28
23.176,288,70,300,67,27
44.233,293,59,300,54,29
65.231,304,58,255,42,37
86.237,305,59,296,31,47
107.238,310,60,312,24,80
128.196,311,60,313,211,80
149.389,315,61,293,254,84
170.252,327,59,290,265,90
191.462,329,64,257,282,94
212.374,330,60,259,288,94
233.473,327,57,251,316,95
254.303,340,52,237,324,94
275.440,334,48,254,308,93
298.071,344,43,279,393,164
319.128,348,57,311,447,173
338.277,350,57,290,457,178
359.446,371,59,302,462,186
380.406,383,59,303,458,190
401.450,386,60,300,449,205
424.696,391,59,308,467,226
443.228,396,60,301,479,229
464.238,401,58,299,482,231
485.472,401,60,337,484,234
506.217,402,65,346,482,238
527.171,404,66,348,484,245
549.928,404,63,362,479,243
569.272,417,62,369,483,247
590.458,423,59,375,476,249
611.235,425,60,377,479,249
632.276,428,61,375,472,249
653.254,429,49,381,474,250
674.189,429,53,384,475,250
695.358,426,47,383,472,245
716.261,426,49,384,473,246
737.242,427,48,387,478,245
758.199,427,51,390,481,247
779.229,427,48,387,476,247
800.192,430,47,382,478,246
821.189,428,46,385,474,246
842.302,427,47,385,480,247
863.147,423,51,388,480,246
885.764,421,48,385,482,247
905.189,419,48,379,471,247
926.204,418,44,380,474,248
947.212,415,46,374,474,248
968.138,417,48,375,476,249
989.236,420,47,373,477,248
1010.150,420,49,375,476,250
1031.141,414,49,376,473,248
1052.187,415,56,377,471,248
1073.170,414,53,377,475,247
1094.182,415,47,378,476,247
1115.170,414,49,382,478,251
1136.171,414,53,380,472,248
1157.176,413,53,381,470,250
1178.149,413,47,377,471,250
1204.136,411,51,373,470,249
1220.220,411,52,382,471,248
1241.265,410,55,376,477,251
1262.331,413,54,379,479,250
1283.195,415,54,382,476,249
1304.204,415,51,384,476,248
1325.281,418,53,383,475,250
1346.169,415,51,384,471,251
1367.203,415,51,380,470,249
1388.230,413,48,380,473,249
1409.426,413,48,387,472,248
1430.241,414,48,387,468,248
1451.188,414,48,387,470,249
1472.201,415,49,389,469,248
1493.275,415,49,388,470,249
1514.455,416,49,387,468,248
1535.233,415,50,390,469,249
1556.399,415,48,383,471,249
1577.187,415,50,377,469,248
1598.187,416,49,377,470,249
1619.174,419,49,377,463,250
1640.183,418,50,377,460,250
1662.654,420,50,380,457,250
1682.171,411,49,382,455,248
1703.171,411,48,378,440,249
1724.163,413,48,362,440,248
1745.163,414,50,363,439,250
1766.178,414,50,363,445,249
1787.154,414,49,362,446,250
1808.161,411,48,364,449,249
1829.158,411,45,367,446,249
1850.135,410,45,368,443,250
1871.173,411,47,366,446,251
1892.172,411,48,367,445,250
1913.183,411,48,367,444,251
1934.340,411,53,373,445,250
1955.191,412,52,377,444,251
1976.185,414,51,366,446,251
1997.140,418,51,363,444,252
2018.171,417,52,362,445,252
