# BSL Gesture Data
"# User: 002, Gesture: 7 (Seven), Sample: 10"
timestamp_ms,thumb,index,middle,ring,pinky
1.971,68,86,57,102,0
22.287,70,85,57,105,0
43.270,69,87,58,101,0
64.248,70,85,60,101,0
85.282,70,86,59,101,0
106.289,72,88,57,106,0
127.282,72,89,56,108,0
148.361,73,87,58,105,0
169.306,73,88,57,104,0
190.293,75,88,56,103,0
211.358,74,86,56,99,0
232.317,75,87,57,99,0
253.339,74,87,58,98,0
274.521,75,89,56,98,0
295.486,76,88,59,95,0
318.745,73,86,59,100,0
337.432,75,86,60,101,0
358.264,73,86,56,97,0
379.323,75,84,55,77,0
400.673,71,84,58,72,2
421.296,63,85,69,60,0
442.434,61,81,121,69,0
463.300,60,83,206,91,0
484.308,69,79,305,93,0
505.310,83,84,330,119,0
526.293,77,85,364,141,0
547.281,73,87,479,342,0
568.329,81,88,494,424,0
597.458,92,88,528,457,0
610.265,105,94,572,473,0
631.270,99,86,578,519,0
652.261,74,85,597,527,0
673.339,118,86,604,541,0
694.270,56,84,606,548,0
715.396,56,67,608,551,0
736.260,65,91,601,561,0
758.737,128,111,606,561,0
778.518,153,112,603,563,9
799.366,155,113,601,564,8
820.412,168,112,601,568,6
841.746,190,115,600,569,3
862.889,225,115,600,569,12
883.930,232,115,603,570,7
904.283,229,116,604,570,11
925.729,249,116,596,568,10
946.367,278,116,595,564,11
967.359,193,117,592,564,50
988.359,175,118,593,563,75
1009.319,186,115,593,564,52
1030.370,189,116,592,560,59
1051.359,189,116,598,559,71
1072.349,185,115,600,557,80
1093.332,181,116,598,561,79
1114.334,175,114,597,557,68
1135.361,184,117,593,559,70
1156.357,187,115,593,559,79
1177.411,189,118,597,562,86
1198.382,194,117,596,559,104
1220.307,188,115,600,561,97
1240.434,186,115,597,560,89
1262.740,191,115,598,562,84
1282.299,174,117,595,560,92
1303.284,186,115,591,560,65
1324.335,190,116,594,560,55
1346.176,165,116,589,561,60
1366.385,169,113,586,560,65
1388.076,182,113,591,560,58
1408.593,184,114,591,559,70
1429.668,180,116,590,558,65
1450.353,182,116,588,558,66
1471.403,188,114,585,558,83
1492.643,178,115,590,559,84
1513.676,175,115,591,558,86
1534.327,183,115,591,556,90
1555.523,178,115,589,559,96
1577.698,189,115,590,559,90
1597.558,168,114,589,561,86
1618.404,164,115,589,562,92
1639.419,169,116,588,562,96
1660.393,168,117,588,559,95
1681.401,163,114,587,563,95
1702.253,166,115,589,563,92
1723.445,170,115,588,559,93
1744.295,170,116,588,560,95
1765.377,189,115,590,560,86
1786.328,189,114,589,561,86
1807.225,195,113,591,560,85
1828.309,193,116,590,558,89
1849.220,194,116,590,558,85
1870.306,192,117,590,556,90
1891.350,194,117,592,558,93
1912.328,194,116,594,559,93
1933.341,196,114,591,559,90
1954.313,195,116,590,560,88
1975.196,194,115,589,560,87
1996.186,167,116,590,559,87
2017.182,175,113,590,559,82
