# BSL Gesture Data
"# User: 002, Gesture: 1 (One), Sample: 6"
timestamp_ms,thumb,index,middle,ring,pinky
2.029,107,110,50,142,0
22.244,117,102,35,133,1
43.216,114,100,60,93,0
64.190,113,100,64,94,0
85.210,109,100,41,85,2
106.176,115,101,61,76,0
127.465,157,90,63,77,0
151.372,168,89,69,81,0
169.210,181,89,74,81,0
190.896,212,89,79,93,0
211.502,214,89,81,126,0
233.145,208,89,82,145,0
254.168,208,81,186,77,0
274.153,227,73,265,138,9
295.352,221,52,274,262,10
317.431,234,50,321,340,9
337.361,238,42,425,422,16
358.217,249,39,488,458,22
379.214,250,36,597,473,28
400.371,260,70,622,474,220
421.198,268,78,628,475,243
442.165,282,93,625,494,247
463.987,316,119,621,500,264
484.248,373,112,615,501,273
505.167,403,114,607,500,278
526.146,421,114,620,499,278
547.155,435,121,616,499,286
568.205,447,121,614,500,287
589.275,451,124,611,498,287
610.228,454,121,607,499,288
631.206,459,129,615,498,292
652.197,459,124,615,498,292
673.153,460,129,621,500,291
694.195,462,128,624,499,293
715.376,464,141,626,500,291
736.199,464,132,630,506,290
757.336,466,130,630,505,290
778.175,467,131,631,505,295
799.315,466,135,631,505,292
820.238,463,129,632,509,293
841.797,465,111,633,507,294
862.206,466,115,632,509,292
883.442,463,131,633,509,292
904.327,464,144,634,510,292
925.264,465,147,634,511,293
946.239,464,115,633,512,291
967.199,465,94,633,514,292
988.299,466,91,634,514,290
1009.152,465,92,634,516,291
1030.138,466,105,632,516,293
1051.157,467,108,634,518,293
1072.157,467,108,632,518,293
1093.134,468,106,635,519,293
1114.146,467,108,633,518,293
1135.143,466,110,633,517,296
1156.148,467,109,633,517,294
1177.158,470,109,633,516,293
1198.172,471,111,633,518,292
1219.171,470,108,633,517,292
1240.170,472,108,634,517,291
1261.196,471,110,635,517,292
1282.230,471,109,634,518,290
1303.262,470,108,633,516,291
1324.223,472,109,635,516,292
1345.183,470,107,635,516,291
1366.182,470,108,633,517,292
1387.219,471,109,632,517,294
1408.348,470,108,631,518,291
1429.308,470,108,633,515,291
1450.296,470,108,632,518,289
1471.214,472,108,633,517,290
1492.190,472,108,634,517,289
1513.848,472,110,634,517,291
1534.155,472,109,634,515,291
1555.123,471,109,633,515,291
1576.197,470,108,634,517,290
1597.122,472,111,634,517,291
1618.132,471,108,634,518,290
1639.212,472,109,635,517,292
1660.570,469,108,635,517,289
1681.407,472,107,634,517,290
1702.320,471,110,635,518,290
1723.263,472,108,635,518,289
1744.513,471,107,635,518,291
1765.394,471,108,635,518,290
1786.705,470,109,636,516,289
1807.226,472,108,637,517,288
1828.194,470,107,637,518,285
1849.978,471,107,635,517,285
1870.442,468,106,635,517,284
1891.273,468,106,637,517,284
1912.183,468,106,636,517,284
1933.240,467,106,637,517,285
1954.370,469,110,636,517,285
1975.273,469,106,636,516,284
1996.226,468,107,638,519,285
2017.202,468,106,637,518,284
