# BSL Gesture Data
"# User: 002, Gesture: 3 (Three), Sample: 7"
timestamp_ms,thumb,index,middle,ring,pinky
1.725,19,2,83,140,3
22.142,22,0,81,105,2
43.148,18,0,82,129,3
64.503,22,0,88,141,4
85.442,20,2,95,168,4
107.228,21,0,91,177,4
127.177,18,0,91,179,5
148.295,24,0,94,165,12
169.318,23,0,92,174,12
190.337,16,3,91,178,16
211.439,15,2,85,127,14
232.344,23,1,112,156,16
253.228,21,52,112,152,197
274.215,35,50,89,163,264
295.233,104,61,91,132,277
316.569,91,56,84,139,273
337.139,123,38,87,174,275
358.172,209,23,84,173,276
380.245,262,114,94,201,281
400.222,345,82,138,206,287
421.291,420,101,216,203,291
442.323,451,106,221,123,288
463.285,484,88,235,138,287
484.230,529,105,225,118,283
505.152,556,58,223,113,279
526.156,573,66,125,131,280
547.222,582,59,127,203,278
570.042,588,36,129,210,273
589.130,591,55,135,209,273
610.183,595,43,139,213,271
631.150,595,48,144,212,273
652.163,599,57,139,212,274
673.190,600,61,143,212,274
694.190,601,57,138,212,273
715.444,603,48,140,212,274
736.263,604,57,144,211,274
757.153,604,57,141,206,276
778.329,606,53,137,207,276
799.124,606,55,140,208,277
820.448,608,53,140,205,275
841.203,606,53,144,206,275
862.120,605,52,146,202,274
883.138,607,56,226,202,276
904.144,606,57,248,207,274
925.128,607,52,248,208,271
946.089,608,61,240,211,273
967.241,606,62,251,213,276
988.188,607,62,264,214,275
1009.123,606,67,266,211,273
1030.154,606,63,256,212,271
1051.137,604,69,265,215,273
1072.126,605,72,272,212,272
1093.096,605,62,296,204,272
1114.122,605,59,296,210,272
1135.140,604,90,289,208,272
1156.100,604,95,271,211,271
1177.139,605,89,282,213,273
1198.146,605,60,282,217,271
1219.098,606,60,291,226,269
1240.172,606,72,296,222,264
1261.323,605,66,296,219,262
1282.387,605,50,298,215,262
1303.248,605,40,292,215,261
1324.126,605,37,287,216,260
1345.233,605,66,284,216,243
1366.517,604,113,287,216,245
1387.113,604,138,286,215,255
1408.184,604,139,290,215,254
1429.443,603,136,312,211,249
1450.176,601,160,312,210,239
1471.201,600,168,283,211,217
1492.161,601,164,271,209,216
1513.181,599,181,251,214,216
1534.187,597,188,272,211,216
1555.232,598,189,267,212,217
1576.499,596,186,272,212,217
1597.321,596,187,283,211,217
1618.162,596,163,290,211,216
1639.289,596,153,290,213,217
1660.126,595,157,244,209,213
1681.283,593,150,256,208,213
1702.238,593,144,263,209,209
1723.171,591,143,222,206,209
1744.329,593,123,167,206,202
1765.714,593,135,187,198,198
1786.186,593,129,195,204,196
1807.132,594,129,205,208,203
1828.271,594,146,273,203,207
1849.502,595,152,272,204,205
1870.323,593,145,214,205,206
1891.100,594,136,217,203,205
1912.377,593,129,260,204,204
1933.133,594,158,276,206,203
1954.181,593,123,272,204,194
1975.448,594,127,170,204,197
1996.337,595,132,223,206,198
2017.138,591,140,275,204,195
