# BSL Gesture Data
"# User: 004, Gesture: 4 (Four), Sample: 5"
timestamp_ms,thumb,index,middle,ring,pinky
1.980,0,91,331,21,2
22.965,0,90,329,17,0
43.992,0,89,330,17,0
64.896,0,93,330,17,0
85.854,0,90,333,17,0
111.121,0,91,332,16,0
127.873,0,90,332,18,0
148.921,4,90,333,16,0
169.984,3,89,333,15,0
190.935,11,89,335,16,0
211.901,1,90,332,18,1
232.892,1,86,311,18,0
253.927,41,82,313,18,0
274.956,48,80,292,15,0
295.933,278,94,293,2,0
316.937,285,96,280,4,0
337.957,325,101,221,11,0
359.185,344,103,169,4,0
380.232,380,106,185,0,0
401.280,371,99,178,0,0
421.919,371,115,183,0,0
442.931,387,115,189,0,0
463.927,383,113,192,0,0
484.937,385,112,188,0,0
506.027,377,115,188,0,0
526.812,376,117,190,0,0
548.872,382,115,189,0,0
571.957,380,116,188,0,0
589.897,383,118,190,0,0
610.896,377,117,185,0,0
631.934,379,116,182,0,0
652.911,376,107,182,0,0
673.811,379,106,186,3,0
694.963,379,110,185,3,0
715.880,372,114,180,4,0
736.876,373,107,182,0,0
757.914,373,111,184,0,0
781.135,373,117,180,1,0
799.929,370,117,184,1,0
820.890,370,114,185,1,0
841.930,369,108,183,2,0
862.754,371,105,186,5,0
883.925,370,101,185,5,0
904.913,355,103,185,5,0
932.781,355,100,184,6,0
946.944,358,110,184,7,0
967.904,359,105,185,5,0
988.875,359,100,187,6,0
1009.801,360,103,188,4,0
1030.906,357,103,188,7,0
1051.799,355,98,186,5,0
1072.940,356,96,186,6,1
1093.928,332,97,188,8,0
1114.814,330,91,186,5,0
1135.804,338,85,188,3,0
1156.778,338,85,187,9,0
1177.824,335,88,186,6,0
1198.956,342,81,186,3,0
1219.952,331,86,184,2,0
1240.944,343,87,186,3,0
1261.938,331,87,182,2,1
1282.784,329,92,185,1,0
1303.845,330,92,186,0,0
1324.862,331,92,186,1,0
1345.841,332,90,185,0,0
1366.856,335,89,188,0,0
1387.798,336,90,187,0,0
1408.864,333,89,190,0,0
1429.856,335,88,188,0,0
1450.845,333,88,188,1,0
1471.844,329,91,185,0,0
1492.831,331,90,186,0,0
1514.260,336,90,187,0,0
1534.901,335,92,188,0,0
1556.151,335,93,190,1,0
1576.905,332,92,190,0,0
1597.962,332,92,188,0,0
1619.226,329,91,190,0,0
1640.674,333,90,189,0,0
1661.058,328,88,191,0,0
1681.823,324,89,191,0,0
1702.954,327,89,191,0,0
1723.907,324,90,193,0,0
1744.844,325,90,193,2,0
1765.843,321,89,190,1,0
1786.931,324,92,191,0,0
1807.834,322,91,191,0,0
1828.826,326,93,191,0,0
1849.811,320,90,189,1,0
1870.835,327,91,190,0,0
1891.828,326,90,191,0,0
1912.827,327,93,189,0,0
1933.838,325,90,188,0,0
1955.088,325,91,190,0,0
1975.818,327,92,189,0,0
1996.820,328,91,189,1,0
2018.207,326,90,189,0,0
