# BSL Gesture Data
"# User: 004, Gesture: 5 (Five), Sample: 6"
timestamp_ms,thumb,index,middle,ring,pinky
1.573,0,80,195,24,0
22.207,0,81,200,23,0
43.176,0,84,196,23,0
64.203,0,82,201,23,0
85.235,0,81,199,22,0
106.239,0,82,201,23,0
127.221,0,82,202,24,0
148.194,0,82,201,24,0
169.181,0,82,202,24,0
190.201,0,82,202,23,0
211.211,0,81,201,26,0
232.228,0,82,202,22,0
253.231,0,84,203,23,0
274.250,0,84,203,22,0
295.294,0,83,205,15,0
316.302,0,82,199,4,0
337.244,0,90,154,8,0
358.202,0,94,279,3,0
379.248,0,108,419,171,21
400.273,0,240,356,234,16
421.352,0,401,362,285,38
442.336,28,478,367,388,155
463.339,42,514,335,408,184
484.228,43,515,312,409,183
505.316,292,517,340,450,197
528.810,312,538,421,454,210
547.339,317,529,441,464,212
568.535,319,532,472,462,232
589.347,329,529,567,461,236
610.484,359,532,566,461,246
631.299,359,537,501,460,244
652.308,362,543,443,490,247
673.255,364,542,332,489,246
694.186,363,550,408,488,250
715.205,364,552,501,494,243
736.257,365,549,509,494,242
757.268,365,542,519,498,250
778.254,393,544,527,500,246
799.385,406,543,523,499,243
820.217,417,548,526,506,242
841.221,420,542,529,510,243
862.331,423,544,528,510,242
883.202,422,545,535,510,250
904.207,427,545,538,516,251
925.255,439,550,554,519,244
946.259,440,552,565,517,243
967.226,426,538,556,500,247
988.380,369,529,550,468,240
1009.330,324,471,341,457,219
1030.211,39,423,429,389,197
1051.171,12,168,333,249,98
1072.215,0,61,375,113,24
1093.178,0,99,345,9,8
1114.195,0,90,333,49,0
1135.178,0,89,223,33,0
1156.202,0,88,313,9,0
1177.199,0,50,288,27,0
1198.187,1,0,310,45,0
1219.243,0,0,335,30,0
1240.376,0,0,343,47,0
1261.495,0,0,359,41,0
1282.216,0,0,363,39,0
1303.211,0,0,331,40,0
1324.230,0,0,340,39,0
1345.207,0,37,343,29,0
1366.235,0,37,332,31,0
1387.237,0,38,356,30,0
1408.248,0,48,347,30,2
1429.227,0,48,337,28,0
1450.214,0,57,358,29,0
1471.340,0,52,371,28,0
1492.214,0,61,370,28,0
1513.194,0,65,369,27,0
1534.178,0,66,363,29,0
1555.959,0,69,361,28,0
1576.182,0,68,362,30,0
1597.210,0,70,363,30,0
1618.234,0,73,362,30,0
1639.196,0,75,359,29,0
1660.180,0,75,354,27,0
1681.192,0,74,348,29,0
1702.173,0,74,300,29,0
1723.217,0,71,303,30,0
1744.224,0,72,290,28,0
1765.197,0,70,287,30,0
1786.402,0,70,281,30,0
1807.211,2,69,284,28,0
1829.377,0,71,295,29,0
1849.217,0,72,311,28,0
1870.201,0,73,308,32,0
1891.210,0,74,314,26,0
1912.173,0,69,315,26,0
1933.207,2,69,316,25,0
1954.504,0,69,317,27,0
1975.174,0,73,315,26,0
1996.231,0,72,318,26,0
2017.201,0,74,323,25,0
