# BSL Gesture Data
"# User: 005, Gesture: 0 (Zero), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
1.959,26,31,351,54,1
22.240,26,31,351,51,0
43.202,29,30,350,50,1
64.210,28,32,351,49,1
85.208,27,31,350,51,0
113.971,28,33,351,48,1
127.157,27,34,353,50,1
148.255,29,32,352,52,0
169.227,28,32,349,52,0
190.343,26,29,350,54,2
211.481,25,31,352,51,0
232.238,25,31,356,48,1
253.181,27,32,350,52,0
274.172,25,35,348,49,3
296.338,26,32,347,49,0
316.258,27,32,348,50,1
337.181,25,34,350,48,0
358.663,26,33,354,45,2
379.222,25,39,352,44,0
400.656,30,45,350,41,0
421.714,25,43,348,42,0
442.210,26,39,366,33,0
463.198,26,52,377,31,0
484.263,27,54,388,32,0
505.186,25,70,428,17,39
526.197,25,87,498,26,41
547.296,27,84,542,23,41
568.277,30,72,546,25,41
589.219,30,48,552,34,32
610.184,32,73,556,37,35
631.163,29,81,556,56,33
656.933,39,90,565,127,42
673.219,34,104,571,304,81
694.215,31,105,581,335,89
715.187,29,104,590,349,88
736.196,105,101,587,393,88
757.148,183,310,589,456,90
778.216,214,328,592,457,116
799.480,259,333,590,456,96
820.348,283,353,586,460,137
843.824,407,387,590,465,107
862.228,415,391,590,466,99
883.368,442,398,587,475,179
904.405,452,405,598,479,164
925.125,461,392,600,476,169
946.249,459,368,597,458,180
967.251,464,376,591,452,187
988.216,469,386,591,439,180
1009.233,467,389,593,439,182
1030.188,465,368,593,437,182
1051.255,458,382,592,437,185
1072.234,423,421,593,447,185
1093.198,406,409,593,437,185
1114.602,402,356,591,433,186
1135.236,341,341,592,449,184
1156.228,290,371,591,447,186
1180.736,286,325,592,447,187
1198.147,282,348,593,448,186
1219.157,281,315,595,448,187
1240.221,298,319,595,447,188
1263.484,301,329,598,445,188
1282.275,299,328,598,446,188
1303.214,291,315,598,445,189
1324.217,277,311,596,446,190
1345.202,263,320,595,445,189
1366.163,251,318,598,447,191
1387.247,244,309,597,446,191
1408.233,239,319,598,448,192
1429.384,243,305,596,445,190
1450.252,246,312,597,446,190
1471.169,251,341,598,446,191
1492.238,249,312,598,445,190
1513.143,248,327,597,447,192
1534.185,250,315,596,446,193
1555.261,253,317,595,447,191
1576.254,253,326,595,447,192
1597.263,252,331,595,446,193
1618.233,255,319,594,445,192
1639.186,255,315,596,447,191
1660.228,258,323,595,444,191
1681.189,260,323,595,443,191
1702.204,258,309,596,445,193
1723.216,259,305,594,446,191
1744.234,260,307,595,446,190
1765.227,260,328,595,445,192
1786.248,258,326,595,445,188
1807.220,256,330,595,445,192
1828.266,259,329,594,445,192
1849.277,259,334,595,447,195
1870.479,260,327,596,444,190
1891.310,259,370,596,444,190
1912.292,253,370,596,445,189
1933.482,257,354,596,445,190
1954.307,255,332,596,444,189
1975.225,260,338,596,444,187
1996.920,258,332,595,444,188
2017.229,258,322,594,443,192
