# BSL Gesture Data
"# User: 005, Gesture: 6 (Six), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
1.782,135,54,504,27,2
22.548,137,54,505,27,3
43.611,137,53,502,28,3
64.644,137,54,502,27,3
85.628,137,54,502,29,4
106.642,137,51,503,26,4
128.060,137,52,504,26,3
148.625,138,51,504,27,2
170.040,138,54,501,28,3
190.896,138,56,502,26,4
211.632,137,56,500,27,2
232.569,135,52,500,24,8
253.644,136,48,498,25,7
274.653,136,47,500,29,7
295.623,136,53,504,28,48
316.662,125,43,515,24,47
337.627,126,74,539,32,49
358.694,118,84,560,42,51
379.621,110,110,578,196,49
400.651,109,126,580,208,45
422.580,138,270,579,242,47
442.602,139,412,593,342,44
464.654,132,457,588,369,101
484.801,143,469,597,348,134
508.380,115,503,598,348,138
526.742,131,522,596,319,170
547.787,117,521,604,292,207
568.805,125,535,611,288,224
591.352,179,550,606,283,243
610.653,186,548,600,336,247
631.627,185,552,609,374,252
654.492,182,553,612,378,263
674.659,173,549,611,381,290
694.878,167,555,614,377,307
715.649,161,557,608,371,308
736.835,165,560,611,370,309
757.750,160,573,614,363,308
778.839,157,572,613,367,311
799.652,159,572,613,361,311
820.653,159,570,613,362,311
841.705,160,571,614,351,312
862.642,163,570,616,347,313
883.797,159,570,608,341,310
904.875,151,568,609,343,316
925.674,152,569,605,341,306
946.928,157,570,605,343,306
967.615,157,573,608,343,306
988.785,158,572,606,343,307
1009.585,159,570,606,342,301
1030.595,161,571,606,340,300
1051.613,158,572,607,341,297
1072.606,156,573,610,344,301
1093.616,160,571,608,342,298
1114.601,159,572,607,340,299
1135.611,161,571,607,341,300
1156.610,163,569,607,343,299
1177.604,157,568,608,344,300
1198.878,164,565,609,342,299
1219.696,164,563,608,341,300
1240.658,161,562,610,342,301
1262.192,151,561,609,336,303
1282.665,150,560,607,337,308
1303.651,166,561,607,336,306
1324.698,168,560,609,339,308
1345.661,164,559,609,340,312
1366.654,162,558,608,340,309
1387.703,171,559,608,336,310
1408.634,168,558,608,336,309
1429.609,173,559,609,335,310
1451.081,158,559,610,335,312
1471.703,173,559,606,333,312
1492.673,174,560,607,334,313
1513.691,171,557,608,334,315
1534.616,162,558,608,335,315
1556.030,157,558,609,334,315
1576.613,158,558,608,333,313
1597.662,159,559,609,333,311
1619.014,158,559,610,333,310
1639.888,167,558,609,332,310
1661.373,162,560,609,333,310
1681.871,168,558,608,331,311
1703.767,165,559,608,332,310
1723.627,163,557,608,331,310
1744.717,162,558,607,333,309
1765.639,165,558,609,334,310
1787.176,167,557,611,334,309
1808.137,153,556,612,333,309
1828.640,164,556,611,333,311
1849.620,165,557,611,333,310
1870.624,167,556,608,334,311
1891.624,158,556,607,330,311
1912.615,158,554,607,326,310
1933.616,153,554,606,331,309
1954.685,167,553,608,330,309
1975.616,166,552,607,328,306
1996.883,152,552,609,327,310
2017.474,146,552,606,328,295
