# BSL Gesture Data
"# User: 006, Gesture: 10 (Static), Sample: 10"
timestamp_ms,thumb,index,middle,ring,pinky
2.025,44,105,346,120,50
22.421,45,104,346,119,50
43.427,45,103,345,119,49
64.484,45,104,346,119,48
86.130,45,105,346,119,50
106.406,45,104,346,118,49
127.380,45,103,347,118,50
148.441,46,104,347,118,50
169.416,45,104,347,119,49
190.522,47,104,346,120,49
211.426,46,107,348,119,49
232.428,45,106,348,118,50
253.426,45,105,349,118,49
274.424,45,106,347,117,51
295.425,44,106,347,117,49
316.411,44,106,348,120,47
337.426,44,107,345,118,50
358.413,44,106,348,120,49
379.416,46,106,349,120,48
400.429,45,105,347,120,47
421.486,44,105,348,120,50
442.327,45,106,348,120,48
463.414,44,106,347,119,48
484.414,45,106,348,119,49
505.428,45,106,348,120,50
526.423,45,106,349,119,49
547.409,46,109,349,120,49
568.430,45,107,348,119,49
589.414,47,107,350,118,49
610.425,43,105,350,119,49
631.440,45,106,350,118,49
652.422,44,105,350,119,49
673.422,43,105,351,118,49
694.412,49,105,349,118,50
715.417,45,105,349,119,48
736.426,45,103,349,118,48
757.418,47,105,350,118,48
778.440,46,106,350,118,50
799.430,45,105,349,118,50
820.423,45,105,349,118,49
841.416,45,104,350,118,49
862.425,46,104,351,117,50
883.419,46,106,351,118,49
904.432,46,105,350,118,49
925.439,45,104,350,118,49
946.446,45,104,351,118,49
967.438,43,102,351,118,48
988.419,43,105,350,117,49
1009.410,46,106,349,118,49
1030.535,45,105,350,121,50
1051.429,45,105,349,118,49
1072.435,46,104,351,118,48
1093.430,45,105,353,118,50
1114.439,46,109,356,122,53
1135.471,46,106,351,119,49
1156.430,45,106,352,119,50
1177.417,45,107,351,118,50
1198.428,45,106,351,119,47
1219.422,45,107,352,119,47
1240.434,46,106,353,119,49
1261.448,46,107,353,120,50
1282.423,46,109,354,119,49
1303.412,47,110,354,120,49
1324.433,45,108,352,120,48
1345.427,45,109,352,119,49
1366.436,47,108,352,119,50
1387.296,45,109,354,120,49
1408.799,45,111,354,123,49
1429.434,46,108,356,117,49
1450.559,45,109,355,120,50
1471.432,45,109,354,119,48
1492.420,44,110,356,120,49
1513.304,46,110,353,120,52
1534.287,45,112,354,120,48
1555.296,43,109,354,119,49
1576.417,47,108,354,119,48
1597.954,45,108,353,119,49
1619.409,45,108,355,122,49
1639.870,44,106,353,119,49
1660.319,46,107,355,119,48
1681.305,47,109,354,120,49
1702.340,46,108,354,121,52
1723.304,44,110,355,119,50
1744.434,45,109,355,119,50
1765.430,45,108,357,119,48
1786.416,46,108,355,119,49
1807.278,44,109,356,118,50
1828.263,47,107,355,118,47
1849.274,50,108,354,118,48
1870.256,45,108,355,120,48
1891.369,50,108,355,120,48
1912.390,45,109,353,121,49
1933.281,46,109,356,120,48
1954.296,46,108,356,118,50
1975.277,49,107,357,120,49
1996.254,45,108,354,118,50
2017.319,46,108,356,119,48
