# BSL Gesture Data
"# User: 006, Gesture: 8 (Eight), Sample: 8"
timestamp_ms,thumb,index,middle,ring,pinky
2.367,20,100,276,90,47
22.685,21,100,277,45,48
43.739,20,102,271,85,48
64.751,18,102,272,97,49
85.671,23,101,279,79,49
106.653,24,101,281,24,49
127.697,16,92,296,23,49
148.697,27,104,276,9,52
169.680,18,106,281,45,47
190.718,49,110,273,131,45
211.701,26,104,255,136,55
232.767,49,97,299,247,57
253.831,51,98,239,324,55
274.721,50,122,202,355,57
296.244,50,87,242,418,216
316.688,133,71,331,428,211
337.742,150,73,330,437,219
358.692,175,119,336,432,234
379.699,191,127,386,434,227
400.718,207,125,369,427,258
421.789,212,141,392,420,256
442.839,210,177,371,419,246
463.718,218,163,366,425,247
484.683,220,170,370,431,255
505.718,220,177,367,430,262
526.758,238,147,365,424,275
547.698,229,141,369,428,271
568.759,220,151,374,432,262
589.702,232,141,376,436,262
610.665,236,140,372,431,263
631.724,230,143,367,427,256
652.672,222,150,368,427,256
673.733,221,143,383,431,261
694.728,226,147,380,429,262
715.779,226,146,383,430,265
736.715,225,145,382,431,264
757.704,228,141,385,429,257
778.750,220,135,382,429,251
799.667,224,134,376,431,258
820.682,227,135,367,432,262
841.754,227,134,366,432,261
867.213,223,129,363,435,260
883.751,223,130,369,433,257
904.682,225,127,371,435,252
925.707,229,128,375,434,266
946.750,226,127,377,434,261
967.708,224,130,377,432,254
988.662,221,127,372,431,254
1009.673,223,130,378,431,254
1030.674,223,131,374,432,254
1051.653,220,130,380,435,251
1072.629,217,125,374,435,249
1093.633,218,125,378,432,250
1114.660,218,126,375,431,251
1135.643,220,125,384,427,249
1156.633,218,127,379,435,249
1177.672,215,123,378,433,248
1198.659,221,132,373,413,247
1219.663,222,140,376,414,246
1240.698,222,144,382,416,248
1261.671,221,143,413,419,249
1282.732,221,156,389,419,250
1303.804,224,152,385,420,251
1324.720,226,147,384,433,251
1345.701,219,144,396,442,252
1366.693,234,147,403,464,248
1387.659,237,145,400,471,250
1408.810,236,147,407,476,248
1429.707,236,147,393,475,248
1450.746,237,148,390,482,249
1471.651,238,149,394,484,250
1492.705,237,149,395,484,250
1513.716,239,147,388,486,249
1534.693,248,144,389,486,251
1555.664,240,145,391,486,251
1576.667,228,146,397,486,253
1597.652,229,145,394,485,253
1618.736,237,145,396,486,252
1639.667,236,146,396,489,253
1660.698,239,145,392,489,254
1681.672,238,146,396,490,252
1702.712,238,143,397,490,253
1723.697,237,147,393,485,255
1744.655,239,145,392,472,252
1765.658,239,144,392,446,253
1786.644,240,143,394,446,252
1807.644,236,140,378,440,251
1828.741,226,140,370,434,249
1849.718,230,135,367,430,248
1870.697,230,130,366,433,249
1891.654,232,131,362,427,241
1912.766,243,129,370,425,238
1933.647,232,131,368,425,238
1954.654,234,132,367,424,237
1975.636,233,130,351,427,236
1996.675,233,131,361,420,238
2017.663,232,136,369,424,239
