# BSL Gesture Data
"# User: 006, Gesture: 9 (Nine), Sample: 1"
timestamp_ms,thumb,index,middle,ring,pinky
2.237,37,43,326,147,45
30.129,40,44,331,140,47
43.980,39,55,372,144,45
66.049,40,50,374,144,46
85.734,39,50,386,155,46
106.720,41,57,385,139,50
127.763,39,57,387,136,44
148.758,41,57,387,128,44
169.766,42,56,391,131,46
190.761,40,65,392,139,44
211.737,40,57,391,141,44
232.764,40,59,391,127,44
253.757,39,57,391,132,45
274.747,41,60,391,141,45
295.782,40,55,392,132,44
316.766,38,52,389,127,59
337.780,42,48,379,137,63
358.809,43,47,351,149,142
379.815,44,38,307,137,200
401.259,43,39,359,51,210
421.777,43,39,347,184,224
442.784,41,48,323,117,231
463.834,43,51,299,95,232
484.811,40,53,312,125,233
505.895,40,55,328,191,234
526.802,39,50,327,268,234
547.819,41,47,333,299,255
568.765,43,51,340,307,257
589.782,46,57,307,307,270
610.776,44,58,291,317,231
631.798,44,58,268,323,242
652.803,45,59,278,312,256
673.792,46,60,243,307,259
694.785,45,63,243,314,255
715.828,122,57,260,318,279
736.757,132,55,217,300,292
757.772,157,64,241,199,275
778.813,161,63,283,185,254
799.884,153,68,314,150,255
820.771,184,70,378,83,244
841.785,192,69,375,62,246
862.780,198,72,398,54,242
883.856,211,74,390,56,228
904.844,205,73,396,64,219
925.742,202,71,391,45,218
946.801,202,71,387,68,209
967.804,200,67,375,71,207
988.756,202,69,376,83,199
1009.742,207,71,386,98,183
1030.719,214,71,325,79,191
1051.754,221,61,332,82,196
1072.713,217,62,347,105,201
1093.724,215,59,339,130,216
1114.735,217,62,280,311,214
1135.748,213,69,258,351,190
1156.723,198,63,305,366,174
1177.715,209,97,314,388,179
1198.730,213,104,316,374,270
1219.719,215,99,320,348,276
1240.722,218,100,296,381,312
1261.707,210,99,363,364,317
1282.756,221,96,344,356,329
1303.759,220,97,330,355,336
1324.748,216,114,305,347,346
1345.758,210,100,273,346,344
1368.215,219,105,286,346,345
1387.775,218,106,326,368,347
1408.722,212,98,343,361,346
1429.726,213,105,308,355,348
1450.796,213,60,328,338,352
1471.773,213,66,336,341,348
1492.742,216,65,304,337,348
1513.795,215,66,338,345,353
1534.806,209,88,324,345,357
1555.755,219,105,321,346,357
1576.916,224,103,298,345,355
1597.794,221,103,295,347,357
1618.773,218,104,340,340,356
1639.782,219,104,358,335,359
1660.791,230,108,312,337,357
1681.800,227,106,314,342,356
1702.758,229,107,324,342,356
1723.758,225,107,356,346,355
1744.768,214,109,339,343,355
1765.781,230,108,388,341,356
1786.795,229,110,398,345,354
1807.774,230,115,324,362,356
1828.731,212,111,247,341,356
1849.782,218,110,242,292,352
1870.722,233,107,260,264,355
1891.720,211,108,256,261,346
1912.735,54,109,225,260,327
1933.779,52,105,149,324,324
1954.795,55,102,82,228,335
1975.948,51,65,55,160,310
1996.737,49,62,57,141,265
2017.801,49,72,107,224,277
